,MTprime,MPhi,Limit [fb]
0,1600.0,450.0,309.375
1,1600.0,175.0,4.500000178813934
2,1400.0,100.0,4.500000178813934
3,1400.0,75.0,3.374999761581421
4,1500.0,75.0,2.8125
5,1800.0,75.0,1.6874998807907104
6,1900.0,75.0,1.6874998807907104
7,1000.0,175.0,33.74999761581421
8,1600.0,500.0,384.74998474121094
9,1000.0,75.0,11.250000447034836
10,1100.0,175.0,16.874998807907104
11,1100.0,350.0,911.2499237060547
12,1600.0,75.0,2.250000089406967
13,1200.0,450.0,793.54248046875
14,1300.0,100.0,5.625000223517418
15,1700.0,100.0,3.374999761581421
16,1400.0,175.0,6.187499761581421
17,1500.0,200.0,4.500000178813934
18,1700.0,125.0,3.9374998211860657
19,1700.0,175.0,4.500000178813934
20,1400.0,125.0,5.062500238418579
21,1500.0,100.0,3.9374998211860657
22,1600.0,200.0,3.9374998211860657
23,1700.0,200.0,3.9374998211860657
24,1000.0,100.0,16.874998807907104
25,1000.0,125.0,14.0625
26,1000.0,200.0,67.49999523162842
27,1000.0,450.0,1653.7498474121094
28,1100.0,100.0,11.250000447034836
29,1700.0,250.0,2.250000089406967
30,1200.0,100.0,8.437499403953552
31,1200.0,250.0,28.125
32,1200.0,75.0,5.625000223517418
33,1300.0,175.0,8.437499403953552
34,1300.0,450.0,787.5
35,1400.0,450.0,498.3749771118164
36,1600.0,100.0,3.374999761581421
37,2000.0,75.0,2.250000089406967
38,1700.0,350.0,23.625001907348633
39,1100.0,200.0,22.50000089406967
40,1100.0,500.0,1125.0
41,1200.0,175.0,11.250000447034836
42,1700.0,450.0,251.9999885559082
43,1300.0,250.0,11.250000447034836
44,1300.0,500.0,629.9999713897705
45,1400.0,500.0,540.0
46,1600.0,125.0,3.9374998211860657
47,1500.0,125.0,4.500000178813934
48,1600.0,250.0,2.8125
49,1100.0,450.0,755.8463096618652
50,1200.0,125.0,8.437499403953552
51,1200.0,350.0,405.0000190734863
52,1300.0,125.0,7.03125
53,1300.0,350.0,262.5
54,1700.0,500.0,283.49998474121094
55,1500.0,350.0,137.2499942779541
56,1700.0,75.0,2.250000089406967
57,1500.0,175.0,5.625
58,1600.0,350.0,49.49999809265137
59,1400.0,250.0,5.062500238418579
60,1500.0,450.0,389.2500305175781
61,2100.0,75.0,1.6874998807907104
62,1400.0,200.0,5.625
63,1500.0,250.0,3.374999761581421
64,1800.0,100.0,2.8125
65,1800.0,125.0,2.8125
66,1800.0,175.0,3.374999761581421
67,1000.0,250.0,326.2499809265137
68,1000.0,500.0,2756.25
69,1100.0,125.0,11.250000447034836
70,1100.0,250.0,112.5
71,1100.0,75.0,7.424183189868927
72,1200.0,200.0,11.250000447034836
73,1200.0,500.0,854.9999237060547
74,1300.0,200.0,8.437499403953552
75,1300.0,75.0,4.218749701976776
76,1400.0,350.0,201.37500762939453
77,1500.0,500.0,456.7500305175781
78,2200.0,75.0,1.6874998807907104
79,2900.0,500.0,25.593750476837158
80,2900.0,75.0,1.6874998807907104
81,3000.0,100.0,1.6874998807907104
82,3000.0,125.0,1.6874998807907104
83,3000.0,175.0,2.250000089406967
84,3000.0,200.0,2.250000089406967
85,3000.0,250.0,1.1250000447034836
86,3000.0,350.0,2.250000089406967
87,3000.0,450.0,12.976226806640625
88,3000.0,500.0,23.624999523162842
89,3000.0,75.0,1.6874998807907104
90,800.0,100.0,168.75
91,800.0,125.0,213.74998092651367
92,800.0,175.0,911.2499237060547
93,800.0,200.0,1698.7499237060547
94,800.0,250.0,2801.249885559082
95,800.0,350.0,6660.0006103515625
96,800.0,450.0,4983.749771118164
97,800.0,500.0,5444.999694824219
98,800.0,75.0,146.25000953674316
99,900.0,100.0,22.50000089406967
100,900.0,125.0,28.125
101,900.0,175.0,134.99999046325684
102,900.0,200.0,314.99998569488525
103,900.0,250.0,1136.2499237060547
104,900.0,350.0,1575.0
105,900.0,450.0,2969.999885559082
106,900.0,500.0,4758.750152587891
107,900.0,75.0,25.312501192092896
108,1900.0,325.0,3.75
109,2000.0,300.0,2.8125
110,2600.0,500.0,44.84375
111,1000.0,150.0,18.75
112,2100.0,225.0,1.875
113,1100.0,225.0,18.75
114,1200.0,150.0,7.03125
115,1200.0,225.0,9.375
116,2100.0,275.0,1.875
117,1400.0,225.0,3.75
118,1500.0,150.0,3.75
119,1500.0,225.0,2.8125
120,2100.0,300.0,2.8125
121,1700.0,225.0,2.34375
122,1700.0,275.0,2.8125
123,1700.0,300.0,5.625
124,2100.0,325.0,3.75
125,1800.0,275.0,2.34375
126,1800.0,300.0,3.75
127,1900.0,150.0,2.34375
128,1900.0,275.0,1.875
129,2200.0,150.0,1.40625
130,1800.0,325.0,5.625
131,2000.0,225.0,1.875
132,2200.0,225.0,1.875
133,2200.0,275.0,1.40625
134,2000.0,325.0,3.75
135,2000.0,150.0,1.875
136,2200.0,300.0,1.875
137,1100.0,150.0,14.0625
138,2200.0,325.0,2.8125
139,1300.0,150.0,7.03125
140,1300.0,225.0,5.859375
141,1400.0,150.0,4.6875
142,1600.0,150.0,3.75
143,1600.0,225.0,2.8125
144,1700.0,150.0,2.8125
145,2300.0,225.0,1.40625
