,MTprime,MPhi,Limit (fb)
0,1600.0,350.0,73.87499809265137
1,1600.0,125.0,5.2031248807907104
2,900.0,75.0,34.53125059604645
3,1000.0,200.0,95.6250011920929
4,1000.0,75.0,15.703125298023224
5,1200.0,200.0,15.078124403953552
6,1800.0,450.0,263.99999618530273
7,1300.0,125.0,9.1796875
8,1300.0,250.0,13.593749701976776
9,1300.0,75.0,5.351562425494194
10,1400.0,200.0,7.65625
11,1400.0,450.0,750.0
12,1500.0,250.0,4.8750001192092896
13,1700.0,75.0,3.4375
14,1800.0,500.0,306.49999618530273
15,1800.0,125.0,4.0156251192092896
16,1000.0,125.0,18.046875298023224
17,1800.0,75.0,2.5859373807907104
18,1100.0,200.0,28.90625
19,1100.0,450.0,1127.4999618530273
20,1900.0,100.0,3.2499998807907104
21,1200.0,450.0,1200.0
22,1900.0,125.0,3.75
23,1400.0,250.0,7.406250238418579
24,1400.0,75.0,4.4062501192092896
25,1500.0,175.0,8.00000011920929
26,1700.0,350.0,37.125000953674316
27,1600.0,250.0,3.5781249403953552
28,1900.0,175.0,4.7343748807907104
29,1000.0,450.0,2489.9999618530273
30,1100.0,100.0,14.023438096046448
31,1100.0,175.0,24.609375
32,1900.0,250.0,2.1484375
33,1200.0,175.0,15.859374403953552
34,1200.0,250.0,37.65625059604645
35,1200.0,75.0,6.8359375
36,1900.0,350.0,14.750000238418579
37,1300.0,450.0,1183.7499618530273
38,1400.0,125.0,6.9999998807907104
39,1900.0,450.0,241.00000381469727
40,1500.0,125.0,6.1250001192092896
41,1500.0,75.0,4.124999940395355
42,1800.0,100.0,3.5312500596046448
43,1500.0,200.0,6.656249761581421
44,1300.0,175.0,11.640624701976776
45,1300.0,350.0,480.0000190734863
46,1400.0,175.0,8.90625
47,1400.0,350.0,318.9999961853028
48,1500.0,100.0,5.6718748807907104
49,1600.0,100.0,4.7968751192092896
50,1900.0,500.0,337.5
51,1500.0,500.0,689.4999694824219
52,1900.0,75.0,2.5312501192092896
53,1600.0,200.0,5.4218751192092896
54,2900.0,75.0,2.5156250596046448
55,1000.0,100.0,21.015624701976776
56,1000.0,500.0,4179.999923706055
57,1600.0,450.0,464.50000762939453
58,2000.0,100.0,3.4218749403953552
59,1600.0,75.0,3.4531250596046448
60,2000.0,175.0,4.953125119209289
61,1700.0,100.0,4.515624940395355
62,2000.0,250.0,2.2734375298023224
63,1700.0,200.0,5.4374998807907104
64,2000.0,350.0,12.1875
65,1700.0,250.0,3.3437499403953552
66,1700.0,500.0,425.49999237060547
67,2000.0,450.0,198.50000381469727
68,2000.0,500.0,259.75000381469727
69,2400.0,125.0,2.5078123807907104
70,2400.0,175.0,3.1406250596046448
71,2400.0,200.0,2.8125
72,2400.0,450.0,31.124999523162842
73,2800.0,100.0,2.2265625
74,2800.0,125.0,2.5234374403953552
75,2800.0,500.0,28.812499046325684
76,2900.0,100.0,2.2421875596046448
77,2900.0,125.0,2.5624999403953552
78,2900.0,175.0,3.046875
79,2900.0,250.0,1.3593749701976776
80,2900.0,350.0,3.3125001192092896
81,2900.0,450.0,15.437500476837158
82,2900.0,500.0,25.625
83,3000.0,100.0,2.265625
84,3000.0,125.0,2.5468748807907104
85,3000.0,175.0,3.125
86,3000.0,200.0,2.7049964666366577
87,3000.0,250.0,1.3593749701976776
88,3000.0,350.0,3.0546873807907104
89,3000.0,450.0,14.312499761581421
90,3000.0,500.0,23.406250476837158
91,3000.0,75.0,2.8125
92,800.0,100.0,251.25000476837158
93,800.0,125.0,316.24999046325684
94,800.0,175.0,1367.5000190734863
95,800.0,200.0,2654.9999237060547
96,800.0,250.0,4259.999847412109
97,800.0,350.0,10109.99984741211
98,800.0,450.0,7759.999847412109
99,800.0,500.0,8384.99984741211
100,800.0,75.0,212.5
101,900.0,100.0,31.406250596046448
102,900.0,125.0,41.093748807907104
103,900.0,175.0,189.37499523162842
104,900.0,200.0,482.4999809265137
105,900.0,350.0,2367.4999237060547
106,900.0,450.0,4815.000152587891
107,900.0,500.0,7405.000305175781
