,MTprime,MPhi,limit_p1,limit_p2,limit_m1,limit_m2,exp,obs
100,800.0,75.0,299.74451065063477,409.3593120574951,152.30636596679688,113.720703125,212.5,246.34568129516325
92,800.0,100.0,353.40232849121094,473.69890213012695,180.67795038223267,135.4394555091858,251.25000476837158,154.15295483298047
93,800.0,125.0,443.5691833496094,603.4518718719482,226.28166675567627,170.47851085662842,316.24999046325684,199.47009473522292
94,800.0,175.0,2005.2568435668945,2871.547508239746,965.2793884277344,715.8008098602295,1367.5000190734863,830.7556427682192
95,800.0,200.0,4115.446090698242,6017.151260375977,1724.8424530029297,1203.0467987060547,2654.9999237060547,1648.9213721495514
96,800.0,250.0,6144.839859008789,8458.902740478516,2986.4721298217773,2196.562385559082,4259.999847412109,2995.254895436365
97,800.0,350.0,14260.786437988281,19411.488342285156,7270.264434814453,5449.921798706055,10109.99984741211,9043.97390071459
98,800.0,450.0,11440.87142944336,16046.914672851562,5253.061676025391,3698.1250762939453,7759.999847412109,6320.7660219637155
99,800.0,500.0,12195.217895507812,16975.747680664062,5907.985687255859,4421.77734375,8384.99984741211,8053.781221602791
2,900.0,75.0,48.84612858295441,66.61498546600342,24.541130661964417,18.344727158546448,34.53125059604645,41.63957232210481
101,900.0,100.0,44.55085098743439,61.07010841369629,22.435227036476135,16.684570908546448,31.406250596046448,20.5567773116161
102,900.0,125.0,58.29290151596069,79.90765571594238,29.20505404472351,21.831053495407104,41.093748807907104,15.273939569617093
103,900.0,175.0,267.1252489089966,362.39938735961914,136.18263006210327,102.08495855331421,189.37499523162842,135.92486871184394
104,900.0,200.0,724.8314380645752,1055.4227828979492,324.6508598327637,229.94139194488525,482.4999809265137,320.3971861887531
105,900.0,350.0,3433.8760375976562,4831.172180175781,1673.8964080810547,1257.7342987060547,2367.4999237060547,2239.539699465428
106,900.0,450.0,7252.485656738281,10110.037994384766,3133.9820861816406,2125.3711700439453,4815.000152587891,3290.8217915370465
107,900.0,500.0,10563.282012939453,14532.464599609375,5219.295883178711,3818.203353881836,7405.000305175781,5821.027528355388
4,1000.0,75.0,22.33801782131195,30.775892734527588,11.16010695695877,8.342285454273224,15.703125298023224,20.502747682186868
55,1000.0,100.0,29.476311802864075,39.83194828033447,15.112675726413727,11.328735202550888,21.015624701976776,17.519510173478356
16,1000.0,125.0,25.528180599212646,34.81462001800537,12.89188414812088,9.587402641773224,18.046875298023224,9.48258433181213
3,1000.0,200.0,135.26619672775269,185.0797414779663,68.53786706924438,51.17431879043579,95.6250011920929,84.15105183474245
29,1000.0,450.0,3611.5528106689453,5050.209426879883,1739.6108627319336,1274.1796493530273,2489.9999618530273,2107.573653108458
56,1000.0,500.0,6096.0906982421875,8602.433776855469,2924.7753143310547,2171.6405868530273,4179.999923706055,2562.1857201174375
30,1100.0,100.0,19.66913789510727,26.758798956871033,10.00017300248146,7.504730671644211,14.023438096046448,17.49124829893861
31,1100.0,175.0,34.22258794307709,45.803046226501465,17.814159393310547,13.458251953125,24.609375,39.15913922366866
18,1100.0,200.0,40.082740783691406,53.71804237365723,21.026897430419922,15.80810546875,28.90625,32.502353997616254
19,1100.0,450.0,1662.3172760009766,2386.7538452148438,786.1669540405273,581.3671588897705,1127.4999618530273,963.0035357540525
35,1200.0,75.0,9.942248463630676,13.966700434684753,4.7664642333984375,3.5247802734375,6.8359375,6.682344696217904
33,1200.0,175.0,22.244204580783844,30.059054493904114,11.40473335981369,8.549194037914276,15.859374403953552,19.160572614233224
5,1200.0,200.0,20.847921073436737,27.586862444877625,10.91470718383789,8.245849609375,15.078124403953552,17.879210194432517
34,1200.0,250.0,54.617488384246826,78.01188826560974,26.580476760864258,19.71069425344467,37.65625059604645,38.337055691329766
