,MTprime,MPhi,limit_p1,limit_p2,limit_m1,limit_m2,exp,obs
99,800.0,75.0,199.97191252887725,273.10046267721174,101.60985175872803,75.86776634765624,141.767505,164.34735343407277
91,800.0,100.0,235.76925351242065,316.02405400577544,120.53770463154316,90.35724087574482,167.61922968117713,102.84178727082039
92,800.0,125.0,295.9232772628784,402.58760594289777,150.96182269738196,113.7332383071041,210.9833981376457,133.0747183657703
93,800.0,175.0,1337.7894569254304,1915.727650504074,643.9776495309449,477.54021125112536,912.3156037247086,554.231316423161
94,800.0,200.0,2745.5836434837342,4014.2895124287415,1150.713463907318,802.6020849449158,1771.2598351011657,1100.0633829214983
95,800.0,250.0,4099.475837346954,5643.2825249661255,1992.3986004558562,1465.4172657767485,2842.0214102023315,1998.2579452472912
96,800.0,350.0,9513.958177183227,12950.20362645813,4850.292939359436,3635.8673686949155,6744.797430202331,6033.607600891413
97,800.0,450.0,7632.676694484558,10705.557911143798,3504.5338702175904,2467.1716011488343,5177.015610202331,4216.8434288121
98,800.0,500.0,8135.932301070557,11325.220678575439,3941.460660978699,2949.9498432421874,5593.978860202332,5373.009268717552
107,900.0,75.0,32.5872648381865,44.44160134177208,16.372399359179735,12.238523290225267,23.03721996014714,27.77947424645579
100,900.0,100.0,29.721708188778162,40.74238541124344,14.967464287387132,11.130964657412767,20.95240371014714,13.714273083804338
101,900.0,125.0,38.88959626883984,53.30968932352066,19.483894801461695,14.56439522619009,27.415332892205715,10.189874373201832
102,900.0,175.0,178.21025910744666,241.77156216236114,90.85304323878765,68.1050817512083,126.33986156882285,90.68108002226202
103,900.0,200.0,483.5649153881264,704.1160218898773,216.58796420986175,153.4033761517811,321.89561627529145,213.75016327058816
104,900.0,350.0,2290.8801803741453,3223.074005689087,1116.7252583628845,839.0863693199158,1579.4567401011657,1494.089202549005
105,900.0,450.0,4838.431984019165,6744.822879619445,2090.808569753723,1417.9226728285216,3212.2849797976683,2195.442798992175
106,900.0,500.0,7047.200638050842,9695.205871940918,3482.0073186589048,2547.2807673527527,4940.180789595337,3883.4472905000475
5,1000.0,75.0,14.90261201493144,20.531866009984014,7.4453671473938225,5.565482328706383,10.47620185507357,13.678227691991365
0,1000.0,100.0,19.664862027736902,26.573533774080275,10.082288619330525,7.557865997512042,14.020389082426428,11.687987040546558
1,1000.0,125.0,17.030901038775443,23.226267376356123,8.600707060838342,6.396151303315759,12.039814042573571,6.326222690226343
2,1000.0,200.0,90.241652804389,123.47432082530021,45.72443488201618,34.14049644703388,63.795378045294285,56.14063370229228
3,1000.0,450.0,2409.415675973053,3369.2027772999572,1160.5660784960173,850.0577402849578,1661.1815625505828,1406.0492160231604
4,1000.0,500.0,4066.953263734131,5739.037992811889,1951.238112933197,1448.7909070818328,2788.650165101166,1709.3396559420114
6,1100.0,100.0,13.122092258307337,17.851897246645688,6.671527417083085,5.006715025957525,9.355613319522142,11.669132379651863
7,1100.0,175.0,22.83129838744998,30.557099223203657,11.88455967464447,8.978554357910156,16.41792796875,26.12467513264538
8,1100.0,200.0,26.740847785720824,35.83751925081253,14.027909584007263,10.546238452148437,19.2845503125,21.683659448794504
9,1100.0,450.0,1109.0003422920227,1592.301824401245,524.4843651189423,387.85398402231215,752.2016775505829,642.4593344472014
14,1200.0,75.0,6.632883570724726,9.317761288036108,3.1799046684265138,2.351526141357422,4.560535546875,4.458067459448448
10,1200.0,175.0,14.84002533706963,20.05363368592858,7.608567499346137,5.703519569486976,10.580442071102857,12.78280740654669
11,1200.0,200.0,13.908507082437872,18.404332515710593,7.281650848274231,5.5011460034179684,10.059238008602858,11.927957744165942
12,1200.0,250.0,36.437576741652485,52.0449447517848,17.732931162815095,13.149816217076182,25.122036210147144,25.576229338380568
13,1200.0,450.0,1180.3108815170287,1675.0939954044343,548.436974765625,397.15749562499997,800.56944,981.5720351763568
20,1300.0,75.0,5.3064495124921205,7.539518558361232,2.4545453321300448,1.7851238892095536,3.570247778419107,3.3139898629473628
15,1300.0,125.0,8.760548288555146,12.112118222478031,4.352391126651764,3.2534534838867186,6.124147734375,6.529271187772783
16,1300.0,175.0,10.923387878485322,14.83996767823398,5.556648100378811,4.186327218215167,7.765940332426429,6.750626998597435
17,1300.0,250.0,13.081514355660081,18.234332397623064,6.401514072090089,4.747028577252924,9.068950488676428,9.717160007393309
18,1300.0,350.0,491.27096707855225,700.477773219223,210.77493559970856,145.10322372470856,320.22778872470855,333.33008989361997
19,1300.0,450.0,1142.2921245371247,1570.20854916893,559.3507664244461,416.45833356445314,789.7283700505828,682.0382779814179
27,1400.0,75.0,4.427692770715714,6.3484660544686315,1.9949531652281285,1.4468299817755221,2.9395909920294283,3.030548651065632
21,1400.0,125.0,6.754843142243385,9.401631035077571,3.2964119011520148,2.444446933830857,4.669988320470572,5.39673808824845
22,1400.0,175.0,8.42854394111967,11.553811096884727,4.222745433517456,3.156542103515625,5.9417263125,5.348087646873749
23,1400.0,200.0,7.245590614811897,9.8674857965312,3.63007940776062,2.713518650390625,5.1077998125,5.77458541473987
24,1400.0,250.0,6.969609182682038,9.39249071786213,3.5414025044145583,2.644214916999221,4.9410146715588565,6.707845417643099
25,1400.0,350.0,310.3727437166748,428.7705070701599,143.3767988912201,103.08373566383743,212.81804025505832,208.2699924513613
26,1400.0,450.0,721.7387507142333,993.5357769574584,354.39331308288575,263.859556640625,500.3559,516.9684200810378
34,1500.0,75.0,4.101196233849763,5.818038964147568,1.8650961226376295,1.3329793301966786,2.7519574102352857,3.449070398850439
28,1500.0,100.0,5.578812852684974,7.917436139565468,2.6199359742486474,1.921532789794922,3.7839414142205716,5.728460805352913
29,1500.0,125.0,5.943063599839926,8.348713891397953,2.8646575692193506,2.106967382891536,4.0862399295294285,4.15636772396646
30,1500.0,175.0,7.6559990493164065,10.636606151144028,3.7673281142578126,2.7936538942941427,5.337129679529428,5.93431122953982
