,MTprime,MPhi,Limit (fb)
0,1600.0,350.0,69.76421542765999
1,1600.0,125.0,5.411017211629203
2,900.0,75.0,41.84876844218343
3,1000.0,200.0,75.59860760673446
4,1000.0,75.0,20.18385915578873
5,1200.0,200.0,17.27783734597207
6,1800.0,450.0,380.0508725063123
7,1300.0,125.0,9.897090738895685
8,1300.0,250.0,14.153130822263831
9,1300.0,75.0,4.891164440209125
10,1400.0,200.0,8.35674726687931
11,1500.0,250.0,6.503572260679413
12,1700.0,75.0,5.097672378649324
13,1800.0,500.0,424.59173606786135
14,1800.0,125.0,4.348572543036511
15,1000.0,125.0,9.372500550327617
16,1800.0,75.0,3.5215478903830477
17,1100.0,200.0,30.983881220831943
18,1100.0,450.0,790.4462581095314
19,1900.0,100.0,4.38115048578343
20,1200.0,450.0,832.0659783610065
21,1900.0,125.0,3.8518813361934017
22,1900.0,125.0,3.8518813361934017
23,1400.0,250.0,10.085860447824583
24,1400.0,75.0,4.507295601381181
25,1500.0,175.0,9.10904285394424
26,1700.0,350.0,38.404517860618945
27,1600.0,250.0,4.294942181558319
28,1900.0,175.0,5.09445128854621
29,1000.0,450.0,1767.0303257267915
30,1100.0,100.0,17.16258012107921
31,1100.0,175.0,37.88411849439338
32,1900.0,250.0,2.009884237871777
33,1200.0,175.0,17.570647511069705
34,1200.0,250.0,37.45545377795184
35,1200.0,75.0,6.48882470256135
36,1900.0,350.0,16.657764662203704
37,1300.0,450.0,600.9141931171192
38,1400.0,125.0,8.294424779461103
39,1900.0,450.0,377.30091635974935
40,1500.0,125.0,6.409770958618319
41,1500.0,75.0,5.1968503776175
42,1800.0,100.0,4.66060155518114
43,1500.0,200.0,7.539669048435991
44,1300.0,175.0,10.010843597018054
45,1300.0,350.0,310.3057978498977
46,1400.0,175.0,7.921323040020319
47,1400.0,350.0,233.979690737997
48,1500.0,100.0,8.564816285525428
49,1600.0,100.0,7.745190330554054
50,1900.0,500.0,565.9698171275329
51,1900.0,75.0,3.2719287082913704
52,1600.0,200.0,6.811364095905496
53,2900.0,75.0,5.220772652524514
54,1000.0,100.0,17.252258351727207
55,1000.0,500.0,2154.598146304031
56,2000.0,100.0,4.729753721643984
57,1600.0,75.0,4.848614401758075
58,2000.0,175.0,0.6553428895058733
59,1700.0,100.0,6.606654765634192
60,2000.0,250.0,1.9228986776563213
61,1700.0,200.0,6.858315978588369
62,2000.0,350.0,12.15514161798655
63,1700.0,250.0,3.651753011365045
64,1700.0,500.0,488.14880453415896
65,2000.0,450.0,281.4331338752361
66,2000.0,500.0,407.40544887180863
67,2400.0,125.0,3.0364305697971483
68,2400.0,175.0,0.1723880284566714
69,2400.0,200.0,3.0040615635004224
70,2400.0,450.0,29.949877810306894
71,2800.0,100.0,2.2089316719289607
72,2800.0,125.0,3.0352095826678385
73,2800.0,500.0,28.06325090170796
74,2900.0,100.0,2.149085408971525
75,2900.0,125.0,3.1000287438138736
76,2900.0,175.0,3.2262322278906863
77,2900.0,250.0,1.2582435257746594
78,2900.0,350.0,2.130786845759549
79,2900.0,450.0,14.611196847145468
80,2900.0,500.0,24.694572888993285
81,3000.0,100.0,2.2248153404844633
82,3000.0,125.0,3.0866379087428273
83,3000.0,175.0,3.332787013543564
84,3000.0,200.0,2.9381239735557028
85,3000.0,250.0,1.2445689596628702
86,3000.0,350.0,1.933933192307794
87,3000.0,450.0,13.502538378127667
88,3000.0,500.0,22.559461166861247
89,3000.0,75.0,4.716424565878501
90,800.0,100.0,153.42665124232875
91,800.0,125.0,186.52230038926146
92,800.0,175.0,663.9420376167666
93,800.0,200.0,1253.1548346196644
94,800.0,250.0,1977.6719837362161
95,800.0,350.0,6897.3158073577015
96,800.0,75.0,247.3595968475045
97,900.0,100.0,20.41936192096126
98,900.0,125.0,15.315368804320881
99,900.0,175.0,117.44839344590896
100,900.0,200.0,249.54732792212232
101,900.0,350.0,1881.8061086218045
102,900.0,450.0,2847.9973396154446
103,900.0,500.0,4650.1963874520325
